CustomerID,CustomerName,Email,OrderDate,ProductCategory,Price,Rating
1102,customer 0,customer0@example.com,2023-12-31,Books,51.18,5.0
1435,customer 1,customer1@example.com,2023-01-05,Books,55.38,5.0
1860,customer 2,customer2@example.com,04/29/23,Clothing,117.75,3.0
1270,CUSTOMER 3,customer3@example.com,10/16/23,Clothing,88.94,3.0
1106,customer 4,customer4@example.com,2023-03-06,Clothing,57.99,5.0
1071,customer 5,customer5@example.com,2023-05-26,Clothing,53.86,3.0
1700,CUSTOMER 6,customer6@example.com,08/12/23,Clothng,84.81,2.0
1020,customer 7,customer7@example.com,08/27/23,Electornics,178.41,5.0
1614,CUSTOMER 8,customer8@example.com,2023-06-26,Electronics,73.7,5.0
1121,customer 9,customer9@example.com,2023-09-24,Books,99.3,3.0
1466,CUSTOMER 10,customer10@example.com,2023-12-07,Clothng,105.08,1.0
1214,CUSTOMER 11,customer11@example.com,2023-10-09,Electronics,43.45,3.0
1330,CUSTOMER 12,customer12@example.com,03/04/23,Clothng,11.86,5.0
1458,customer 13,customer13@example.com,2023-08-05,Clothng,48.67,5.0
1087,CUSTOMER 14,customer14@example.com,2023-12-08,Books,112.35,2.0
1372,CUSTOMER 15,customer15@example.com,2023-11-11,Electornics,104.37,1.0
1099,customer 16,customer16@example.com,10/10/23,Clothing,135.12,5.0
1871,customer 17,customer17@example.com,2023-06-26,Electornics,104.84,3.0
1663,CUSTOMER 18,customer18@example.com,2023-04-08,Books,2000.0,4.0
1130,CUSTOMER 19,customer19@example.com,2023-04-15,Books,69.8,
1661,CUSTOMER 20,customer20@example.com,2023-04-09,Books,144.23,1.0
1308,CUSTOMER 21,customer21@example.com,11/07/23,Electronics,54.04,4.0
1769,customer 22,customer22@example.com,2023-01-06,Electornics,44.48,1.0
1343,customer 23,customer23@example.com,2023-07-16,Electornics,128.35,3.0
1491,customer 24,customer24@example.com,2023-12-17,Clothng,33.34,5.0
1413,CUSTOMER 25,customer25@example.com,2023-05-13,Clothng,220.74,3.0
1805,customer 26,customer26@example.com,2023-12-24,Clothng,104.0,
1385,customer 27,customer27@example.com,2023-09-16,Books,117.4,4.0
1191,customer 28,customer28@example.com,2023-01-23,Electornics,59.58,3.0
1955,customer 29,customer29@example.com,02/22/23,Books,84.24,2.0
1276,customer 30,,2023-06-14,Electronics,78.66,3.0
1160,customer 31,customer31@example.com,2023-07-21,Clothng,72.91,3.0
1459,CUSTOMER 32,customer32@example.com,2023-03-24,Books,131.65,1.0
1313,customer 33,customer33@example.com,2023-05-25,Books,77.52,3.0
1021,customer 34,customer34@example.com,2023-03-26,Electronics,150.88,3.0
