CustomerID,CustomerName,Email,OrderDate,ProductCategory,Price,Rating
1102,Customer 0,customer0@example.com,2023-12-31,Books,51.18,5.0
1435,Customer 1,customer1@example.com,2023-01-05,Books,55.38,5.0
1860,Customer 2,customer2@example.com,,Clothing,117.75,3.0
1270,Customer 3,customer3@example.com,,Clothing,88.94,3.0
1106,Customer 4,customer4@example.com,2023-03-06,Clothing,57.99,5.0
1071,Customer 5,customer5@example.com,2023-05-26,Clothing,53.86,3.0
1700,Customer 6,customer6@example.com,,Clothing,84.81,2.0
1020,Customer 7,customer7@example.com,,Electronics,178.41,5.0
1614,Customer 8,customer8@example.com,2023-06-26,Electronics,73.7,5.0
1121,Customer 9,customer9@example.com,2023-09-24,Books,99.3,3.0
1466,Customer 10,customer10@example.com,2023-12-07,Clothing,105.08,1.0
1214,Customer 11,customer11@example.com,2023-10-09,Electronics,43.45,3.0
1330,Customer 12,customer12@example.com,,Clothing,11.86,5.0
1458,Customer 13,customer13@example.com,2023-08-05,Clothing,48.67,5.0
1087,Customer 14,customer14@example.com,2023-12-08,Books,112.35,2.0
1372,Customer 15,customer15@example.com,2023-11-11,Electronics,104.37,1.0
1099,Customer 16,customer16@example.com,,Clothing,135.12,5.0
1871,Customer 17,customer17@example.com,2023-06-26,Electronics,104.84,3.0
1663,Customer 18,customer18@example.com,2023-04-08,Books,236.40750000000003,4.0
1130,Customer 19,customer19@example.com,2023-04-15,Books,69.8,3.0
1661,Customer 20,customer20@example.com,2023-04-09,Books,144.23,1.0
1308,Customer 21,customer21@example.com,,Electronics,54.04,4.0
1769,Customer 22,customer22@example.com,2023-01-06,Electronics,44.48,1.0
1343,Customer 23,customer23@example.com,2023-07-16,Electronics,128.35,3.0
1491,Customer 24,customer24@example.com,2023-12-17,Clothing,33.34,5.0
1413,Customer 25,customer25@example.com,2023-05-13,Clothing,220.74,3.0
1805,Customer 26,customer26@example.com,2023-12-24,Clothing,104.0,3.0
1385,Customer 27,customer27@example.com,2023-09-16,Books,117.4,4.0
1191,Customer 28,customer28@example.com,2023-01-23,Electronics,59.58,3.0
1955,Customer 29,customer29@example.com,,Books,84.24,2.0
1276,Customer 30,unknown@example.com,2023-06-14,Electronics,78.66,3.0
1160,Customer 31,customer31@example.com,2023-07-21,Clothing,72.91,3.0
1459,Customer 32,customer32@example.com,2023-03-24,Books,131.65,1.0
1313,Customer 33,customer33@example.com,2023-05-25,Books,77.52,3.0
1021,Customer 34,customer34@example.com,2023-03-26,Electronics,150.88,3.0
1252,Customer 35,customer35@example.com,2023-03-19,Clothing,233.16,4.0
1747,Customer 36,customer36@example.com,2023-01-01,Electronics,85.22,4.0
